hör, rock'n, roll, på, saxofon
De, häller, det, i, drinken
you, are, the, dancing, queen
tränat, bort, din, dumma, dialekt
i, ett, land, utan, namn
du, bort, mina, bekymmer, suddar
Dags, att, lämna, denna, jord
Blev, plötslig, blek, och, grå
Big, wheels, keep, on, turning
Med, att, träffa, någon, ny
Musklerna, i, din, fasta, stjärt
Höga, berg, och, djupa, hav
taxin, i, trappen, i, hissen
Så, ge, mig, min, styrka
Nära, havet, vill, jag, bo
man, vill, äta, den, med
min, sköna, får, jag, lov
jag, har, väntat, så, länge
